actual,T25-Change based selection-null_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms),T25-Change based selection-null_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms),T25-Change based selection-null_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jtopas-v1,1.0,208,25489,1,-1,0.2857142857142857,255,3464,0,-1,1.0,331,30540,0,-1
jtopas-v2,0.7,42,1445,0,-1,0.7,37,4358,0,-1,0.7,36,65821,0,-1
jtopas-v3,0.6363636363636364,82,2799,0,-1,0.6363636363636364,99,5528,0,-1,0.6363636363636364,115,35541,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,1963,387045,4,-1,1.0,3829,13338,2,-1,1.0,3305,747266,3,-1
apache-ant-v2,0.8235294117647058,436,265053,1,-1,0.8235294117647058,639,13481,0,-1,0.8235294117647058,1012,1224355,1,-1
apache-ant-v3,0.5,545,24590,1,-1,0.5,623,14380,1,-1,0.5,617,193572,1,-1
apache-ant-v4,0.5384615384615384,819,1005499,3,-1,0.5384615384615384,989,15022,1,-1,0.5384615384615384,937,1639904,1,-1
apache-ant-v5,0.27722772277227725,2655,592661,2,-1,0.27722772277227725,1500,24000,1,-1,0.27722772277227725,1280,1272229,3,-1
apache-ant-v6,0.20192307692307693,1335,33802,1,-1,0.20192307692307693,1730,22019,0,-1,0.25,1653,101008,1,-1
apache-ant-v7,0.26666666666666666,1863,2269604,2,-1,0.26666666666666666,2780,27538,2,-1,0.26666666666666666,1881,3941797,1,-1
apache-ant-v8,0.17333333333333334,4574,365701,2,-1,0.14666666666666667,2668,26476,1,-1,0.17333333333333334,2711,448312,1,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,1.0,11841,1678023,2,-1,0.7619047619047619,5450,15425,0,-1,1.0,5273,988442,1,-1
jakarta-jmeter-v2,0.9130434782608695,419,192417,2,-1,0.30434782608695654,397,20778,0,-1,0.9130434782608695,384,541536,1,-1
jakarta-jmeter-v3,0.84,915,688458,1,-1,0.2,699,17267,0,-1,0.84,449,1477618,1,-1
jakarta-jmeter-v4,0.75,432,368539,1,-1,0.32142857142857145,582,19592,0,-1,0.75,560,757481,1,-1
jakarta-jmeter-v5,0.75,496,904126,1,-1,0.35714285714285715,673,19459,0,-1,0.75,555,1450223,1,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-xml-security-v1,1.0,2015,725537,1,-1,1.0,1985,14129,0,-1,1.0,1514,449813,0,-1
apache-xml-security-v2,0.8666666666666667,197,23437,0,-1,0.8666666666666667,204,13552,0,-1,0.8666666666666667,175,201529,0,-1
apache-xml-security-v3,0.8666666666666667,183,230261,1,-1,0.0,173,12349,0,-1,0.8666666666666667,185,543912,0,-1
