actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jtopas-v1,0.0,106,23491,0,-1,1.0,624,223,0,-1,0.0,112,2834,0,-1,0.0,226,26642,0,-1,0.8571428571428571,6264,140,1,-1
jtopas-v2,0.0,22,21702,0,-1,1.0,838,66,0,-1,0.0,11,3275,0,-1,0.0,35,1560,0,-1,1.0,8810,93,0,-1
jtopas-v3,0.0,40,26349,0,-1,0.7272727272727273,843,82,0,-1,0.0,44,3146,0,-1,0.0,62,3730,0,-1,0.7272727272727273,9839,74,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-ant-v1,0.0,2158,395129,0,-1,0.9285714285714286,5114,652,1,-1,0.0,2085,9037,0,-1,0.0,2224,391725,0,-1,0.8928571428571429,116164,594,94,-1
apache-ant-v2,0.0,413,613128,0,-1,0.9411764705882353,10964,229,1,-1,0.0,416,9842,0,-1,0.0,378,241129,0,-1,0.8823529411764706,224651,275,222,-1
apache-ant-v3,0.0,470,109401,0,-1,0.6923076923076923,20100,129,0,-1,0.0,471,11355,0,-1,0.0,502,22614,0,-1,0.6346153846153846,461049,245,19,-1
apache-ant-v4,0.0,741,1464683,0,-1,0.8846153846153846,20455,614,20,-1,0.0,746,11196,0,-1,0.0,813,813670,0,-1,0.8846153846153846,467733,650,908,-1
apache-ant-v5,0.0,1068,1069915,0,-1,0.8811881188118812,68585,945,1,-1,0.0,1161,13880,0,-1,0.0,1065,433783,0,-1,0.7920792079207921,1714637,860,386,-1
apache-ant-v6,0.0,1105,84404,0,-1,0.6730769230769231,74071,131,0,-1,0.0,1105,16804,0,-1,0.0,1194,26732,0,-1,0.04807692307692308,1797869,309,18,-1
apache-ant-v7,0.0,1440,3230520,0,-1,0.9333333333333333,77022,1438,3,-1,0.0,1491,16201,0,-1,0.0,1536,1471982,0,-1,0.9047619047619048,1863246,1900,2053,-1
apache-ant-v8,0.0,1727,371985,0,-1,0.7066666666666667,151118,307,0,-1,0.0,1667,18236,0,-1,0.0,1688,168212,0,-1,0.13333333333333333,3054246,502,53,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.0,3591,836534,0,-1,1.0,10322,369,0,-1,0.0,3336,12336,0,-1,0.0,3609,837743,0,-1,0.7619047619047619,131224,509,107,-1
jakarta-jmeter-v2,0.0,362,466336,0,-1,0.9565217391304348,11988,563,0,-1,0.0,292,13020,0,-1,0.0,359,131354,0,-1,0.043478260869565216,150674,943,66,-1
jakarta-jmeter-v3,0.0,411,1244284,0,-1,0.84,12072,550,0,-1,0.0,375,10450,0,-1,0.0,415,484403,0,-1,0.76,159708,956,416,-1
jakarta-jmeter-v4,0.0,405,623803,0,-1,0.9642857142857143,15632,627,0,-1,0.0,466,12883,0,-1,0.0,493,251328,0,-1,0.9285714285714286,202870,891,64,-1
jakarta-jmeter-v5,0.0,474,1227653,0,-1,1.0,15702,661,1,-1,0.0,490,13905,0,-1,0.0,499,626436,0,-1,0.9285714285714286,208421,945,137,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-xml-security-v1,0.0,1082,401195,0,-1,1.0,6879,244,1,-1,0.0,1104,8832,0,-1,0.0,1153,405012,0,-1,1.0,72039,310,65,-1
apache-xml-security-v2,0.0,175,175515,0,-1,1.0,7326,664,0,-1,0.0,175,8359,0,-1,0.0,170,18559,0,-1,1.0,83390,756,56,-1
apache-xml-security-v3,0.0,121,462569,0,-1,0.8666666666666667,7785,193,0,-1,0.0,158,9116,0,-1,0.0,161,121486,0,-1,0.8,88575,301,66,-1
