actual,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jtopas-v1,1.0,608,217,0,-1,0.8571428571428571,6140,86,0,-1
jtopas-v2,1.0,785,65,0,-1,1.0,8514,74,0,-1
jtopas-v3,0.7272727272727273,894,64,0,-1,0.7272727272727273,10272,61,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-ant-v1,0.9285714285714286,4976,670,2,-1,0.8928571428571429,122570,542,98,-1
apache-ant-v2,0.9411764705882353,10993,241,1,-1,0.8823529411764706,237598,256,259,-1
apache-ant-v3,0.6923076923076923,17058,145,0,-1,0.6346153846153846,497958,249,18,-1
apache-ant-v4,0.8846153846153846,19148,597,24,-1,0.8846153846153846,513180,656,1072,-1
apache-ant-v5,0.8811881188118812,61540,815,2,-1,0.7920792079207921,1861820,1366,365,-1
apache-ant-v6,0.6730769230769231,68300,122,0,-1,0.04807692307692308,1858041,301,21,-1
apache-ant-v7,0.9333333333333333,73448,1512,4,-1,0.9047619047619048,1842883,1867,2137,-1
apache-ant-v8,0.7066666666666667,149980,294,0,-1,0.13333333333333333,3067803,523,54,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,1.0,10863,416,1,-1,0.7619047619047619,131584,515,104,-1
jakarta-jmeter-v2,0.9565217391304348,11819,873,0,-1,0.043478260869565216,153552,944,63,-1
jakarta-jmeter-v3,0.84,12082,551,0,-1,0.76,161874,906,439,-1
jakarta-jmeter-v4,0.9642857142857143,15565,608,0,-1,0.9285714285714286,205787,945,69,-1
jakarta-jmeter-v5,1.0,16150,732,1,-1,0.9285714285714286,209249,1029,131,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-xml-security-v1,1.0,6973,230,0,-1,1.0,71814,298,63,-1
apache-xml-security-v2,1.0,7651,669,0,-1,1.0,84287,789,51,-1
apache-xml-security-v3,0.8666666666666667,7887,198,1,-1,0.8,88434,298,66,-1
