actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1
jtopas-v1,0.2857142857142857,176,4807,0,-1
jtopas-v2,0.7,43,2627,0,-1
jtopas-v3,0.6363636363636364,46,2562,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,2105,9598,3,-1
apache-ant-v2,0.8235294117647058,421,8393,2,-1
apache-ant-v3,0.5,595,10698,1,-1
apache-ant-v4,0.5384615384615384,721,10871,12,-1
apache-ant-v5,0.27722772277227725,1094,15186,1,-1
apache-ant-v6,0.20192307692307693,1333,16229,0,-1
apache-ant-v7,0.26666666666666666,1455,17159,0,-1
apache-ant-v8,0.14666666666666667,1853,18920,0,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.7619047619047619,4053,22820,1,-1
jakarta-jmeter-v2,0.30434782608695654,464,13026,1,-1
jakarta-jmeter-v3,0.2,509,24850,0,-1
jakarta-jmeter-v4,0.32142857142857145,1092,25360,1,-1
jakarta-jmeter-v5,0.35714285714285715,1073,16317,0,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1
apache-xml-security-v1,1.0,1117,9736,1,-1
apache-xml-security-v2,0.8666666666666667,187,9101,0,-1
apache-xml-security-v3,0.0,179,9138,0,-1
