actual,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,T11-CoverageAnalysisCost(ms),T11-ChangeAnalysisCost(ms),T11-ApplyTechniqueCost(ms),T11-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jtopas-v1,1.0,531,164,0,-1,0.8571428571428571,4283,96,1,-1
jtopas-v2,1.0,587,74,0,-1,1.0,4825,79,0,-1
jtopas-v3,0.7272727272727273,652,79,0,-1,0.7272727272727273,5469,54,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-ant-v1,0.9285714285714286,4085,665,0,-1,0.8928571428571429,67220,503,95,-1
apache-ant-v2,0.9411764705882353,7492,210,1,-1,0.8823529411764706,123589,237,235,-1
apache-ant-v3,0.6923076923076923,13836,142,0,-1,0.6346153846153846,261588,136,20,-1
apache-ant-v4,0.8846153846153846,14805,455,15,-1,0.8846153846153846,273379,383,1042,-1
apache-ant-v5,0.8811881188118812,55692,759,4,-1,0.7920792079207921,1017398,705,285,-1
apache-ant-v6,0.6730769230769231,62692,116,0,-1,0.04807692307692308,1077991,122,39,-1
apache-ant-v7,0.9333333333333333,72005,1344,5,-1,0.9047619047619048,1207658,1286,2146,-1
apache-ant-v8,0.7066666666666667,143660,274,1,-1,0.13333333333333333,2409904,369,55,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,1.0,6850,392,1,-1,0.7619047619047619,106399,416,113,-1
jakarta-jmeter-v2,0.9565217391304348,7923,528,0,-1,0.043478260869565216,125790,610,77,-1
jakarta-jmeter-v3,0.84,7837,556,0,-1,0.76,119527,668,1329,-1
jakarta-jmeter-v4,0.9642857142857143,11236,542,1,-1,0.9285714285714286,196981,622,69,-1
jakarta-jmeter-v5,1.0,11055,602,0,-1,0.9285714285714286,149336,778,142,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1
apache-xml-security-v1,1.0,3976,222,0,-1,1.0,50483,276,71,-1
apache-xml-security-v2,1.0,4153,870,1,-1,1.0,111113,835,139,-1
apache-xml-security-v3,0.8666666666666667,4840,162,0,-1,0.8,107821,272,77,-1
