predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,68,0,0.31746031746031744,0,91,0,0.2023041474654378,7048,7056,0,0.4,5892,5910,0,0.31746031746031744,0,388,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7048,-1,-1,0.4,5892,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7048,-1,-1,0.4,5892,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7048,-1,-1,0.4,5892,-1,-1,0.31746031746031744,0,-1,-1
apache-ant-v0,0.6365546218487395,0,2912,0,0.6365546218487395,0,3464,0,0.2612244897959184,288920,289008,0,0.7125220458553791,8203,8204,0,0.6365546218487395,0,3578,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,288920,-1,-1,0.7125220458553791,8203,-1,-1,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,4640,0,0.12566137566137567,0,4883,0,0.08908635224424698,386531,386535,1,0.15363881401617252,23043,23044,0,0.12566137566137567,0,5888,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,386531,-1,-1,0.15363881401617252,23043,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,386531,-1,-1,0.15363881401617252,23043,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,386531,-1,-1,0.15363881401617252,23043,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,386531,-1,-1,0.15363881401617252,23043,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,386531,-1,-1,0.15363881401617252,23043,-1,-1,0.12566137566137567,0,-1,-1
apache-xml-security-v0,0.6786484543493889,0,1333,0,0.6786484543493889,0,1564,0,0.32154173951048953,213083,213085,0,0.6368899917287014,13589,13589,0,0.6786484543493889,0,2385,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,213083,-1,-1,0.6368899917287014,13589,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,213083,-1,-1,0.6368899917287014,13589,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,213083,-1,-1,0.6368899917287014,13589,-1,-1,0.6786484543493889,0,-1,-1
