predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,65,0,0.2023041474654378,7820,7837,0,0.4,4828,4828,0,0.31746031746031744,0,40,0,0.31746031746031744,0,326,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.2023041474654378,7820,-1,-1,0.4,4828,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.2023041474654378,7820,-1,-1,0.4,4828,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.2023041474654378,7820,-1,-1,0.4,4828,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
apache-ant-v0,0.6365546218487395,0,2408,0,0.2612244897959184,224810,224828,0,0.7125220458553791,17043,17044,0,0.6365546218487395,0,2090,0,0.6365546218487395,0,2796,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.2612244897959184,224810,-1,-1,0.7125220458553791,17043,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,3440,0,0.08908635224424698,242168,242171,0,0.15363881401617252,18497,18497,0,0.12566137566137567,0,3825,0,0.12566137566137567,0,3529,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.08908635224424698,242168,-1,-1,0.15363881401617252,18497,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.08908635224424698,242168,-1,-1,0.15363881401617252,18497,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.08908635224424698,242168,-1,-1,0.15363881401617252,18497,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.08908635224424698,242168,-1,-1,0.15363881401617252,18497,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.08908635224424698,242168,-1,-1,0.15363881401617252,18497,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
apache-xml-security-v0,0.6786484543493889,0,1010,0,0.32154173951048953,103912,103913,0,0.6368899917287014,12871,12871,0,0.6786484543493889,0,1218,0,0.6786484543493889,0,1093,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.32154173951048953,103912,-1,-1,0.6368899917287014,12871,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.32154173951048953,103912,-1,-1,0.6368899917287014,12871,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.32154173951048953,103912,-1,-1,0.6368899917287014,12871,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
