predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,60,0,0.31746031746031744,0,60,0,0.2023041474654378,7710,7719,0,0.31746031746031744,0,361,0,0.4,3837,3845,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7710,-1,-1,0.31746031746031744,0,-1,-1,0.4,3837,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7710,-1,-1,0.31746031746031744,0,-1,-1,0.4,3837,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,7710,-1,-1,0.31746031746031744,0,-1,-1,0.4,3837,-1,-1
apache-ant-v0,0.6365546218487395,0,2514,0,0.6365546218487395,0,2354,0,0.2612244897959184,192909,192930,0,0.6365546218487395,0,2847,0,0.7125220458553791,18372,18372,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,192909,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,18372,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,3919,0,0.12566137566137567,0,4255,0,0.08908635224424698,251856,251858,0,0.12566137566137567,0,4091,0,0.15363881401617252,22474,22474,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,251856,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,22474,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,251856,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,22474,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,251856,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,22474,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,251856,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,22474,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,251856,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,22474,-1,-1
apache-xml-security-v0,0.6786484543493889,0,1195,0,0.6786484543493889,0,1232,0,0.32154173951048953,159489,159490,0,0.6786484543493889,0,1384,0,0.6368899917287014,11720,11721,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,159489,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,11720,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,159489,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,11720,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,159489,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,11720,-1,-1
