predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,46,0,0.2023041474654378,4724,4725,0,0.31746031746031744,0,43,0,0.4,3229,3230,0,0.31746031746031744,0,40,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.2023041474654378,4724,-1,-1,0.31746031746031744,0,-1,-1,0.4,3229,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.2023041474654378,4724,-1,-1,0.31746031746031744,0,-1,-1,0.4,3229,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.2023041474654378,4724,-1,-1,0.31746031746031744,0,-1,-1,0.4,3229,-1,-1,0.31746031746031744,0,-1,-1
apache-ant-v0,0.6365546218487395,0,1740,0,0.2612244897959184,91167,91185,0,0.6365546218487395,0,1907,0,0.7125220458553791,6301,6301,0,0.6365546218487395,0,1691,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.2612244897959184,91167,-1,-1,0.6365546218487395,0,-1,-1,0.7125220458553791,6301,-1,-1,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,2746,0,0.08908635224424698,113566,113568,0,0.12566137566137567,0,2950,0,0.15363881401617252,8380,8381,0,0.12566137566137567,0,2876,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.08908635224424698,113566,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,8380,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.08908635224424698,113566,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,8380,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.08908635224424698,113566,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,8380,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.08908635224424698,113566,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,8380,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.08908635224424698,113566,-1,-1,0.12566137566137567,0,-1,-1,0.15363881401617252,8380,-1,-1,0.12566137566137567,0,-1,-1
apache-xml-security-v0,0.6786484543493889,0,971,0,0.32154173951048953,63610,63611,0,0.6786484543493889,0,1044,0,0.6368899917287014,6578,6578,0,0.6786484543493889,0,921,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.32154173951048953,63610,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,6578,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.32154173951048953,63610,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,6578,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.32154173951048953,63610,-1,-1,0.6786484543493889,0,-1,-1,0.6368899917287014,6578,-1,-1,0.6786484543493889,0,-1,-1
