predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,42,0,0.4,3810,3811,0,0.31746031746031744,0,45,0,0.31746031746031744,0,92,0,0.2023041474654378,4838,4842,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.4,3810,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,4838,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.4,3810,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,4838,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.4,3810,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,4838,-1,-1
apache-ant-v0,0.6365546218487395,0,1884,0,0.7125220458553791,7965,7966,0,0.6365546218487395,0,1925,0,0.6365546218487395,0,1897,0,0.2612244897959184,98414,98432,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.7125220458553791,7965,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,98414,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,3339,0,0.15363881401617252,9649,9650,0,0.12566137566137567,0,3441,0,0.12566137566137567,0,3345,0,0.08908635224424698,122577,122579,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.15363881401617252,9649,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,122577,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.15363881401617252,9649,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,122577,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.15363881401617252,9649,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,122577,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.15363881401617252,9649,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,122577,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.15363881401617252,9649,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,122577,-1,-1
apache-xml-security-v0,0.6786484543493889,0,1078,0,0.6368899917287014,5950,5950,0,0.6786484543493889,0,870,0,0.6786484543493889,0,1107,0,0.32154173951048953,68664,68665,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.6368899917287014,5950,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,68664,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.6368899917287014,5950,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,68664,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.6368899917287014,5950,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,68664,-1,-1
