predicated,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.2023041474654378,5048,5064,0,0.4,3709,3718,0
jtopas-v1,0.2023041474654378,5048,-1,-1,0.4,3709,-1,-1
jtopas-v2,0.2023041474654378,5048,-1,-1,0.4,3709,-1,-1
jtopas-v3,0.2023041474654378,5048,-1,-1,0.4,3709,-1,-1
apache-ant-v0,0.2612244897959184,109283,109301,0,0.7125220458553791,9096,9096,0
apache-ant-v1,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v2,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v3,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v4,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v5,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v6,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v7,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
apache-ant-v8,0.2612244897959184,109283,-1,-1,0.7125220458553791,9096,-1,-1
jakarta-jmeter-v0,0.08908635224424698,149520,149523,0,0.15363881401617252,9951,9952,0
jakarta-jmeter-v1,0.08908635224424698,149520,-1,-1,0.15363881401617252,9951,-1,-1
jakarta-jmeter-v2,0.08908635224424698,149520,-1,-1,0.15363881401617252,9951,-1,-1
jakarta-jmeter-v3,0.08908635224424698,149520,-1,-1,0.15363881401617252,9951,-1,-1
jakarta-jmeter-v4,0.08908635224424698,149520,-1,-1,0.15363881401617252,9951,-1,-1
jakarta-jmeter-v5,0.08908635224424698,149520,-1,-1,0.15363881401617252,9951,-1,-1
apache-xml-security-v0,0.32154173951048953,89989,89991,0,0.6368899917287014,6136,6137,0
apache-xml-security-v1,0.32154173951048953,89989,-1,-1,0.6368899917287014,6136,-1,-1
apache-xml-security-v2,0.32154173951048953,89989,-1,-1,0.6368899917287014,6136,-1,-1
apache-xml-security-v3,0.32154173951048953,89989,-1,-1,0.6368899917287014,6136,-1,-1
