predicated,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.4,3600,3601,0,0.2023041474654378,4891,4892,0
jtopas-v1,0.4,3600,-1,-1,0.2023041474654378,4891,-1,-1
jtopas-v2,0.4,3600,-1,-1,0.2023041474654378,4891,-1,-1
jtopas-v3,0.4,3600,-1,-1,0.2023041474654378,4891,-1,-1
apache-ant-v0,0.7125220458553791,7626,7626,0,0.2612244897959184,97404,97422,0
apache-ant-v1,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v2,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v3,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v4,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v5,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v6,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v7,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
apache-ant-v8,0.7125220458553791,7626,-1,-1,0.2612244897959184,97404,-1,-1
jakarta-jmeter-v0,0.15363881401617252,9335,9336,0,0.08908635224424698,121524,121526,0
jakarta-jmeter-v1,0.15363881401617252,9335,-1,-1,0.08908635224424698,121524,-1,-1
jakarta-jmeter-v2,0.15363881401617252,9335,-1,-1,0.08908635224424698,121524,-1,-1
jakarta-jmeter-v3,0.15363881401617252,9335,-1,-1,0.08908635224424698,121524,-1,-1
jakarta-jmeter-v4,0.15363881401617252,9335,-1,-1,0.08908635224424698,121524,-1,-1
jakarta-jmeter-v5,0.15363881401617252,9335,-1,-1,0.08908635224424698,121524,-1,-1
apache-xml-security-v0,0.6368899917287014,5983,5983,0,0.32154173951048953,66828,66829,0
apache-xml-security-v1,0.6368899917287014,5983,-1,-1,0.32154173951048953,66828,-1,-1
apache-xml-security-v2,0.6368899917287014,5983,-1,-1,0.32154173951048953,66828,-1,-1
apache-xml-security-v3,0.6368899917287014,5983,-1,-1,0.32154173951048953,66828,-1,-1
