predicated,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.4,601,602,0,0.2023041474654378,3135,3136,0
jtopas-v1,0.4,601,-1,-1,0.2023041474654378,3135,-1,-1
jtopas-v2,0.4,601,-1,-1,0.2023041474654378,3135,-1,-1
jtopas-v3,0.4,601,-1,-1,0.2023041474654378,3135,-1,-1
apache-ant-v0,0.7125220458553791,4276,4276,0,0.2612244897959184,75093,75112,0
apache-ant-v1,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v2,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v3,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v4,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v5,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v6,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v7,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
apache-ant-v8,0.7125220458553791,4276,-1,-1,0.2612244897959184,75093,-1,-1
jakarta-jmeter-v0,0.15363881401617252,6146,6146,0,0.08908635224424698,86878,86880,0
jakarta-jmeter-v1,0.15363881401617252,6146,-1,-1,0.08908635224424698,86878,-1,-1
jakarta-jmeter-v2,0.15363881401617252,6146,-1,-1,0.08908635224424698,86878,-1,-1
jakarta-jmeter-v3,0.15363881401617252,6146,-1,-1,0.08908635224424698,86878,-1,-1
jakarta-jmeter-v4,0.15363881401617252,6146,-1,-1,0.08908635224424698,86878,-1,-1
jakarta-jmeter-v5,0.15363881401617252,6146,-1,-1,0.08908635224424698,86878,-1,-1
apache-xml-security-v0,0.6368899917287014,2958,2959,0,0.32154173951048953,50382,50384,0
apache-xml-security-v1,0.6368899917287014,2958,-1,-1,0.32154173951048953,50382,-1,-1
apache-xml-security-v2,0.6368899917287014,2958,-1,-1,0.32154173951048953,50382,-1,-1
apache-xml-security-v3,0.6368899917287014,2958,-1,-1,0.32154173951048953,50382,-1,-1
