predicated,T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.4,2935,2936,0,0.2023041474654378,3568,3569,0,0.31746031746031744,0,98,0,0.31746031746031744,0,135,0,0.31746031746031744,0,107,0
jtopas-v1,0.4,2935,-1,-1,0.2023041474654378,3568,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v2,0.4,2935,-1,-1,0.2023041474654378,3568,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v3,0.4,2935,-1,-1,0.2023041474654378,3568,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
apache-ant-v0,0.7125220458553791,4854,4854,0,0.2612244897959184,61345,61397,0,0.6365546218487395,0,4011,0,0.6365546218487395,0,4281,0,0.6365546218487395,0,4234,0
apache-ant-v1,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v3,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v4,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v5,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v6,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v7,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v8,0.7125220458553791,4854,-1,-1,0.2612244897959184,61345,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.15363881401617252,6315,6316,0,0.08908635224424698,126156,126159,0,0.12566137566137567,0,6760,0,0.12566137566137567,0,6905,0,0.12566137566137567,0,7718,0
jakarta-jmeter-v1,0.15363881401617252,6315,-1,-1,0.08908635224424698,126156,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v2,0.15363881401617252,6315,-1,-1,0.08908635224424698,126156,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v3,0.15363881401617252,6315,-1,-1,0.08908635224424698,126156,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v4,0.15363881401617252,6315,-1,-1,0.08908635224424698,126156,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v5,0.15363881401617252,6315,-1,-1,0.08908635224424698,126156,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
apache-xml-security-v0,0.6368899917287014,3449,3449,0,0.32154173951048953,60705,60708,0,0.6786484543493889,0,2051,0,0.6786484543493889,0,2137,0,0.6786484543493889,0,2736,0
apache-xml-security-v1,0.6368899917287014,3449,-1,-1,0.32154173951048953,60705,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v2,0.6368899917287014,3449,-1,-1,0.32154173951048953,60705,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v3,0.6368899917287014,3449,-1,-1,0.32154173951048953,60705,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
