predicated,T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,105,0,0.4,2365,2367,0,0.31746031746031744,0,34,0,0.31746031746031744,0,33,0,0.2023041474654378,3048,3063,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.4,2365,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,3048,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.4,2365,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,3048,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.4,2365,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1,0.2023041474654378,3048,-1,-1
apache-ant-v0,0.6365546218487395,0,4885,0,0.7125220458553791,5245,5246,0,0.6365546218487395,0,1531,0,0.6365546218487395,0,1709,0,0.2612244897959184,69257,69275,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.7125220458553791,5245,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1,0.2612244897959184,69257,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,4168,0,0.15363881401617252,6188,6189,0,0.12566137566137567,0,3338,0,0.12566137566137567,0,3174,0,0.08908635224424698,89067,89069,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.15363881401617252,6188,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,89067,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.15363881401617252,6188,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,89067,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.15363881401617252,6188,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,89067,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.15363881401617252,6188,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,89067,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.15363881401617252,6188,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1,0.08908635224424698,89067,-1,-1
apache-xml-security-v0,0.6786484543493889,0,973,0,0.6368899917287014,2908,2909,0,0.6786484543493889,0,1035,0,0.6786484543493889,0,889,0,0.32154173951048953,48309,48312,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.6368899917287014,2908,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,48309,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.6368899917287014,2908,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,48309,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.6368899917287014,2908,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1,0.32154173951048953,48309,-1,-1
