predicated,T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-null_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,53,0,0.4,2541,2542,0,0.2023041474654378,3184,3186,0,0.31746031746031744,0,70,0,0.31746031746031744,0,31,0
jtopas-v1,0.31746031746031744,0,-1,-1,0.4,2541,-1,-1,0.2023041474654378,3184,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1,0.4,2541,-1,-1,0.2023041474654378,3184,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1,0.4,2541,-1,-1,0.2023041474654378,3184,-1,-1,0.31746031746031744,0,-1,-1,0.31746031746031744,0,-1,-1
apache-ant-v0,0.6365546218487395,0,1661,0,0.7125220458553791,5107,5107,0,0.2612244897959184,61808,61825,0,0.6365546218487395,0,1847,0,0.6365546218487395,0,1717,0
apache-ant-v1,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1,0.7125220458553791,5107,-1,-1,0.2612244897959184,61808,-1,-1,0.6365546218487395,0,-1,-1,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.12566137566137567,0,3000,0,0.15363881401617252,6027,6028,0,0.08908635224424698,71308,71310,0,0.12566137566137567,0,3218,0,0.12566137566137567,0,3048,0
jakarta-jmeter-v1,0.12566137566137567,0,-1,-1,0.15363881401617252,6027,-1,-1,0.08908635224424698,71308,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v2,0.12566137566137567,0,-1,-1,0.15363881401617252,6027,-1,-1,0.08908635224424698,71308,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v3,0.12566137566137567,0,-1,-1,0.15363881401617252,6027,-1,-1,0.08908635224424698,71308,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v4,0.12566137566137567,0,-1,-1,0.15363881401617252,6027,-1,-1,0.08908635224424698,71308,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
jakarta-jmeter-v5,0.12566137566137567,0,-1,-1,0.15363881401617252,6027,-1,-1,0.08908635224424698,71308,-1,-1,0.12566137566137567,0,-1,-1,0.12566137566137567,0,-1,-1
apache-xml-security-v0,0.6786484543493889,0,1028,0,0.6368899917287014,3914,3914,0,0.32154173951048953,41381,41382,0,0.6786484543493889,0,917,0,0.6786484543493889,0,883,0
apache-xml-security-v1,0.6786484543493889,0,-1,-1,0.6368899917287014,3914,-1,-1,0.32154173951048953,41381,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v2,0.6786484543493889,0,-1,-1,0.6368899917287014,3914,-1,-1,0.32154173951048953,41381,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
apache-xml-security-v3,0.6786484543493889,0,-1,-1,0.6368899917287014,3914,-1,-1,0.32154173951048953,41381,-1,-1,0.6786484543493889,0,-1,-1,0.6786484543493889,0,-1,-1
